physical_quantity,power
type,active
2023-08-06 01:54:36,0.149543
2023-08-06 01:54:53,0.149574
2023-08-06 01:55:08,0.150095
2023-08-06 01:55:26,0.127583
2023-08-06 01:55:41,0.096349
2023-08-06 01:55:57,0.096371
2023-08-06 01:56:12,0.096591
2023-08-06 01:56:29,0.096443
2023-08-06 01:56:44,0.096794
2023-08-06 01:57:01,0.096327
2023-08-06 01:57:17,0.096721
2023-08-06 01:57:33,0.096369
2023-08-06 01:57:48,0.0962
2023-08-06 01:58:05,0.096232
2023-08-06 01:58:20,0.096557
2023-08-06 01:58:37,0.096342
2023-08-06 01:58:52,0.095822
2023-08-06 01:59:10,0.096107
2023-08-06 01:59:25,0.096347
2023-08-06 01:59:42,0.09519
2023-08-06 01:59:57,0.09565
2023-08-06 02:00:13,0.095971
2023-08-06 02:00:29,0.095526
2023-08-06 02:00:46,0.095874
2023-08-06 02:01:01,0.096235
2023-08-06 02:01:18,0.095498
2023-08-06 02:01:33,0.095721
2023-08-06 02:01:50,0.095345
2023-08-06 02:02:05,0.095186
2023-08-06 02:02:22,0.095239
2023-08-06 02:02:38,0.094732
2023-08-06 02:02:54,0.094579
2023-08-06 02:03:09,0.095566
2023-08-06 02:03:26,0.095227
2023-08-06 02:03:41,0.095468
2023-08-06 02:03:58,0.095123
2023-08-06 02:04:13,0.095121
2023-08-06 02:04:30,0.094748
2023-08-06 02:04:46,0.095187
2023-08-06 02:05:03,0.09472
2023-08-06 02:05:17,0.095335
2023-08-06 02:05:35,0.094892
2023-08-06 02:05:49,0.094954
2023-08-06 02:06:06,0.094741
2023-08-06 02:06:21,0.094409
2023-08-06 02:06:38,0.095013
2023-08-06 02:06:53,0.094978
2023-08-06 02:07:11,0.094669
2023-08-06 02:07:25,0.094291
2023-08-06 02:07:42,0.094255
2023-08-06 02:07:58,0.094341
2023-08-06 02:08:15,0.09439
2023-08-06 02:08:30,0.094608
2023-08-06 02:08:47,0.094439
2023-08-06 02:09:02,0.094705
2023-08-06 02:09:19,0.094358
2023-08-06 02:09:34,0.093858
2023-08-06 02:09:51,0.094215
2023-08-06 02:10:06,0.094547
2023-08-06 02:10:23,0.094398
2023-08-06 02:10:38,0.094437
2023-08-06 02:10:56,0.094031
2023-08-06 02:11:11,0.094735
2023-08-06 02:11:28,0.094636
2023-08-06 02:11:43,0.094278
